source_paper_id,source_node_id,source_wave,reference_file_count,internal_citation_edges,reference_files
NQSC004,FWP004.paper,frustrated_spin_pilot_wave_v0,1,2,extraction_waves/frustrated_spin_pilot_wave_v0/text/1709.06475/main.bbl
NQSC021,FWP021.paper,frustrated_spin_pilot_wave_v0,1,0,extraction_waves/frustrated_spin_pilot_wave_v0/text/1906.00463/citation_backfill_thebibliography.bbl
NQSC043,FWP043.paper,frustrated_spin_pilot_wave_v0,1,7,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl
NQSC047,FWP047.paper,frustrated_spin_pilot_wave_v0,1,7,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl
NQSC078,FWP078.paper,frustrated_spin_pilot_wave_v0,1,8,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl
NQSC122,FWP122.paper,frustrated_spin_pilot_wave_v0,1,4,extraction_waves/frustrated_spin_pilot_wave_v0/text/2311.16889/main.bbl
NQSC016,OPW016.paper,optimization_pilot_wave_v0,1,1,extraction_waves/optimization_pilot_wave_v0/text/1902.09483/citation_backfill_thebibliography.bbl
NQSC028,OPW028.paper,optimization_pilot_wave_v0,1,2,extraction_waves/optimization_pilot_wave_v0/text/1910.11163/citation_backfill_thebibliography.bbl
NQSC053,OPW053.paper,optimization_pilot_wave_v0,1,1,extraction_waves/optimization_pilot_wave_v0/text/2104.11011/main.bbl
NQSC085,OPW085.paper,optimization_pilot_wave_v0,1,3,extraction_waves/optimization_pilot_wave_v0/text/2208.05637/main.bbl
NQSC109,OPW109.paper,optimization_pilot_wave_v0,1,6,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl
NQSC150,OPW150.paper,optimization_pilot_wave_v0,1,7,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl
NQSC001,APW001.paper,architecture_pilot_wave_v0,1,0,extraction_waves/architecture_pilot_wave_v0/text/1701.05039/citation_backfill_thebibliography.bbl
NQSC034,APW034.paper,architecture_pilot_wave_v0,1,3,extraction_waves/architecture_pilot_wave_v0/text/2002.02973/citation_backfill_thebibliography.bbl
NQSC060,APW060.paper,architecture_pilot_wave_v0,1,3,extraction_waves/architecture_pilot_wave_v0/text/2109.12606/main.bbl
NQSC084,APW084.paper,architecture_pilot_wave_v0,1,0,extraction_waves/architecture_pilot_wave_v0/text/2208.01758/main-11.bbl
NQSC090,APW090.paper,architecture_pilot_wave_v0,1,3,extraction_waves/architecture_pilot_wave_v0/text/2211.13672/main_revtex.bbl
NQSC153,APW153.paper,architecture_pilot_wave_v0,1,12,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl
NQSC026,HPM026.paper,high_priority_mixed_coverage_wave_v0,1,4,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1909.12852/main.bbl
NQSC002,HPM002.paper,high_priority_mixed_coverage_wave_v0,1,2,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1701.06246/neuron_prl.bbl
NQSC003,HPM003.paper,high_priority_mixed_coverage_wave_v0,1,2,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1704.05148/citation_backfill_thebibliography.bbl
NQSC030,HPM030.paper,high_priority_mixed_coverage_wave_v0,1,2,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1912.08828/main.bbl
NQSC083,HPM083.paper,high_priority_mixed_coverage_wave_v0,1,6,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl
NQSC007,HPM007.paper,high_priority_mixed_coverage_wave_v0,1,4,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl
